,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
123,Antoninus Pius,RIC_0128,Silver,3.34,,AD,145.0,"['AVG', 'COS']",RIC_0128.jpg,RIC_0128.txt
126,Antoninus Pius,RIC_0131_denarius,Silver,3.1,18.1,AD,145.0,"['AVG', 'COS']",RIC_0131_denarius.jpg,RIC_0131_denarius.txt
127,Antoninus Pius,RIC_0132_var,Silver,3.16,18.0,AD,145.0,"['AVG', 'COS']",RIC_0132_var.jpg,RIC_0132_var.txt
159,Antoninus Pius,RIC_0177-Cohen237var2,Gold,7.33,,AD,148.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0177-Cohen237var2.jpg,RIC_0177-Cohen237var2.txt
160,Antoninus Pius,RIC_0177var_Calico_1505,Gold,7.33,,AD,148.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0177var_Calico_1505.jpg,RIC_0177var_Calico_1505.txt
163,Antoninus Pius,RIC_0179_Limes,Copper,2.9,17.0,,,"['AVG', 'COS', 'PP', 'TR']",RIC_0179_Limes.jpg,RIC_0179_Limes.txt
196,Antoninus Pius,RIC_0221,Silver,3.47,18.0,AD,148.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0221.jpg,RIC_0221.txt
224,Antoninus Pius,RIC_246-252_mule,Silver,3.3,17.0,,,"['AVG', 'COS', 'PP', 'TR']",RIC_246-252_mule.jpg,RIC_246-252_mule.txt
225,Antoninus Pius,RIC_0253a,Silver,3.18,18.0,AD,155.0,"['AVG', 'IMP', 'COS', 'TR']",RIC_0253a.jpg,RIC_0253a.txt
228,Antoninus Pius,RIC_0256b,Gold,7.22,18.0,AD,156.0,"['AVG', 'IMP', 'COS', 'PP', 'TR']",RIC_0256b.jpg,RIC_0256b.txt
237,Antoninus Pius,RIC_0271,Silver,3.81,,AD,157.0,"['AVG', 'COS', 'TR']",RIC_0271.jpg,RIC_0271.txt
257,Antoninus Pius,Strack_352,Silver,2.6,18.5,AD,158.0,"['AVG', 'COS']",Strack_352.jpg,Strack_352.txt
